From,To,Weight
Achim.Loerke,aaaa,1
Andreas.Weber,aaaa,20
Andreas.Weber,andreas.schank,1
Andreas.Weber,daniel.stucky,1
Andreas.Weber,igor.novakovic,1
Andreas.Weber,pwissel,4
Boris_Bokowski,aaaa,1
Boris_Bokowski,jeff,1
Curtis_Windatt,Michael_Rennie,5
Curtis_Windatt,scela,2
Darin_Swanson,darin.eclipse,1
Darin_Swanson,davidcorley,2
Darin_Wright,aaaa,3
Frank,steffen.pingel,2
Heiko.Behrens,ekke,1
John_Arthorne,Mike_Wilson,1
John_Arthorne,Szymon.Brandys,2
John_Arthorne,aaaa,19
John_Arthorne,eclipse.sprigogin,3
John_Arthorne,ed,2
John_Arthorne,emo,1
John_Arthorne,emoffatt,1
John_Arthorne,francisu,1
John_Arthorne,jesse.mcconnell,1
John_Arthorne,kopp.dev,4
John_Arthorne,manderse,1
John_Arthorne,max.andersen,1
John_Arthorne,maxime_daniel,1
John_Arthorne,mbehm,2
John_Arthorne,mheitz,3
John_Arthorne,mike.milinkovich,4
John_Arthorne,mistria,5
John_Arthorne,mlippert,6
John_Arthorne,news,1
John_Arthorne,overholt,1
John_Arthorne,pwebster,2
John_Arthorne,steffen.pingel,1
John_Arthorne,szymon.ptaszkiewicz,1
John_Arthorne,wayne,1
John_Arthorne,wim.jongman,2
John_Arthorne,ymnk,3
John_Duimovich,aaaa,1
Kenn.Hussey,aaaa,6
Kenn.Hussey,borlander,9
Kenn.Hussey,tfmorris,3
Kevin_McGuire,aaaa,2
Kevin_McGuire,angelo.zerr,1
Kevin_McGuire,hal,3
Kevin_McGuire,irbull,1
Kevin_McGuire,tom.schindl,2
Kevin_McGuire,yves.yang,4
Markus.Tiede,aaaa,4
Markus.Tiede,steffen.pingel,3
Michael.Scharf,aaaa,1
Michael_Rennie,Curtis_Windatt,2
Michael_Rennie,aaaa,5
Michael_Rennie,dalexiev,2
Michael_Rennie,davidcorley,2
Michael_Rennie,mlippert,2
Michael_Rennie,rafael,1
Michael_Rennie,snorthov,3
Michael_Valenta,Olivier_Thomann,2
Mike_Wilson,John_Arthorne,1
Mike_Wilson,aaaa,1
Mike_Wilson,aboyko,1
Mike_Wilson,akurtako,1
Mike_Wilson,remy.suen,1
Mike_Wilson,szymon.ptaszkiewicz,3
Olivier_Thomann,Michael_Valenta,2
Olivier_Thomann,Sonia_Dimitrov,1
Sebastian.Zarnekow,aaaa,2
Sebastian.Zarnekow,ekke,1
Sebastian.Zarnekow,milesparker,3
Sebastian.Zarnekow,peter.friese,1
Silenio_Quarti,ken_walker,1
Silenio_Quarti,remy.suen,3
Sonia_Dimitrov,Olivier_Thomann,1
Stefan.Liebig,ekke,1
Stephane.Drapeau,aaaa,2
Stephane.Drapeau,bbrodt,2
Stephane.Drapeau,donald.smith,3
Stephane.Drapeau,mike.milinkovich,1
Stephane.Drapeau,oisin.hurley,1
Stephane.Drapeau,wayne,2
Steve_Northover,gercan,2
Szymon.Brandys,John_Arthorne,2
Szymon.Brandys,aaaa,5
Szymon.Brandys,szymon.ptaszkiewicz,1
Vikas.Chandra,daniel_megert,1
a.demelt,dieter,3
a.demelt,ekke,1
a.demelt,karsten.thoms,1
a.demelt,peter.friese,1
a.demelt,sven.efftinge,2
aaaa,Achim.Loerke,1
aaaa,Andreas.Weber,22
aaaa,Boris_Bokowski,1
aaaa,Darin_Wright,3
aaaa,John_Arthorne,18
aaaa,John_Duimovich,1
aaaa,Kenn.Hussey,5
aaaa,Kevin_McGuire,2
aaaa,Markus.Tiede,4
aaaa,Michael.Scharf,2
aaaa,Michael_Rennie,7
aaaa,Mike_Wilson,1
aaaa,Sebastian.Zarnekow,2
aaaa,Stephane.Drapeau,4
aaaa,Szymon.Brandys,5
aaaa,aboyko,1
aaaa,adolfosbh,4
aaaa,akurtako,6
aaaa,akurtakov,5
aaaa,alex,7
aaaa,alex.lagarde,1
aaaa,alex.panchenko,1
aaaa,alexander,11
aaaa,alexander.gurov,46
aaaa,alexmonthy,1
aaaa,anders,3
aaaa,andreas.mihm,1
aaaa,andreas.schank,12
aaaa,andrei.ilitchev,10
aaaa,andrew,16
aaaa,andrew.clement,62
aaaa,andrew.ross,7
aaaa,andrew_johnson,4
aaaa,angelo.zerr,8
aaaa,anthonyh,3
aaaa,antoine,4
aaaa,arunkumar.thondapu,2
aaaa,arvera,2
aaaa,aurelien.pupier,5
aaaa,balask,1
aaaa,bbrodt,49
aaaa,benjamin,40
aaaa,benoit.langlois,5
aaaa,beth,1
aaaa,bettini,2
aaaa,bfitzpat,4
aaaa,bhunt,1
aaaa,bmacisaa,5
aaaa,bokowski,1
aaaa,boris,1
aaaa,bork,5
aaaa,borlander,2
aaaa,bpayton,18
aaaa,brad,5
aaaa,brian.fitzpatrick,3
aaaa,brian.vosburgh,1
aaaa,briandealwis,4
aaaa,c.keimel,1
aaaa,cameron.bateman,3
aaaa,caniszczyk,3
aaaa,carm,2
aaaa,carsten.pfeiffer,1
aaaa,ccc,3
aaaa,cdtdoug,15
aaaa,cedric.brun,5
aaaa,cedric.notot,11
aaaa,chris,11
aaaa,chris.guindon,3
aaaa,christian.dietrich,7
aaaa,christian.halstrick,2
aaaa,christian.pontesegger,29
aaaa,christian.saad,6
aaaa,christopher.delahunt,2
aaaa,clayberg,5
aaaa,codingkriggs,1
aaaa,contact,14
aaaa,cvgaviao,11
aaaa,d_a_carver,5
aaaa,daniel.stucky,1
aaaa,daniel_megert,65
aaaa,danijoh2,1
aaaa,david.green,7
aaaa,david.minsky,1
aaaa,david_williams,20
aaaa,davidmichaelkarr,1
aaaa,dcarlson,25
aaaa,denis.roy,33
aaaa,dennis.huebner,4
aaaa,dieter,5
aaaa,dinko.ivanov,2
aaaa,dirk,4
aaaa,dirk.fauth,8
aaaa,djo,5
aaaa,dkeysell,17
aaaa,dmitry,4
aaaa,donald.g.dunne,1
aaaa,donald.smith,2
aaaa,dschaefe,1
aaaa,dschaefer,14
aaaa,dsp,2
aaaa,dwootton,3
aaaa,eclipse,12
aaaa,eclipse.sprigogin,5
aaaa,ed,82
aaaa,edgar.m.mueller,2
aaaa,ekke,2
aaaa,elaskavaia.cdt,3
aaaa,elena.nayashkova,1
aaaa,elharo,1
aaaa,elias,3
aaaa,emo,16
aaaa,emueller,2
aaaa,erdillon,31
aaaa,ericc,1
aaaa,esp1,1
aaaa,etienne.juliot,3
aaaa,eugene.tarassov,34
aaaa,eyuen,6
aaaa,fabiofz,1
aaaa,fbricon,24
aaaa,federico.ciccozzi,2
aaaa,fiedler.mf,5
aaaa,florian,13
aaaa,francisu,1
aaaa,frederic.jouault,2
aaaa,fsteeg,1
aaaa,fwaibel,10
aaaa,g.watson,97
aaaa,gabipetrovay,5
aaaa,gandhi.mukul,4
aaaa,gercan,2
aaaa,gian.maria.romanato,9
aaaa,give.a.damus,27
aaaa,gm.romanato,19
aaaa,gnormington,1
aaaa,golubev,5
aaaa,gorkem.ercan,13
aaaa,greg,8
aaaa,gregw,7
aaaa,gunnar,51
aaaa,guy.g,1
aaaa,guy.pelletier,1
aaaa,hargrave,1
aaaa,henrik.lindberg,2
aaaa,henshin.stj,2
aaaa,hheitkoetter,6
aaaa,hmalphettes,1
aaaa,hoffmann,6
aaaa,hrr,11
aaaa,hstaudacher,1
aaaa,ian,7
aaaa,ian.skerrett,40
aaaa,ian.trimble,2
aaaa,idydieng,1
aaaa,igor,41
aaaa,igor.burilo,5
aaaa,info,4
aaaa,irbull,1
aaaa,ivan,3
aaaa,ivan.inozemtsev,2
aaaa,james,2
aaaa,jamsden,8
aaaa,jan,1
aaaa,jan.koehnlein,3
aaaa,jan.sievers,20
aaaa,janb,8
aaaa,jarthana,7
aaaa,jason,9
aaaa,jbruck,4
aaaa,jean.barata,2
aaaa,jeandersonbc,1
aaaa,jeff,2
aaaa,jeffdouglas,1
aaaa,jeffreyoverbey,1
aaaa,jesper,1
aaaa,jesse.mcconnell,12
aaaa,jfaltermeier,2
aaaa,jgarms,7
aaaa,jhkauf,3
