From,To,Weight
Achim.Loerke,Markus.Tiede,11
Achim.Loerke,aaaa,28
Andreas.Weber,aaaa,2
Darin_Swanson,Darin_Swanson,371
Darin_Swanson,Darin_Wright,909
Darin_Swanson,John_Arthorne,7
Darin_Swanson,Kevin_McGuire,2
Darin_Swanson,Michael_Rennie,56
Darin_Swanson,Michael_Valenta,5
Darin_Swanson,Olivier_Thomann,4
Darin_Swanson,Silenio_Quarti,1
Darin_Swanson,Sonia_Dimitrov,1
Darin_Swanson,aaaa,2114
Darin_Swanson,alex,1
Darin_Swanson,bob,2
Darin_Swanson,boris,1
Darin_Swanson,chanskw,2
Darin_Swanson,chris,9
Darin_Swanson,daniel.megert,1
Darin_Swanson,daniel_megert,6
Darin_Swanson,david_williams,3
Darin_Swanson,davidcorley,1
Darin_Swanson,dejan,5
Darin_Swanson,eclipse,13
Darin_Swanson,gercan,1
Darin_Swanson,info,1
Darin_Swanson,jochen.wiedmann,1
Darin_Swanson,kitlo,2
Darin_Swanson,markus_keller,1
Darin_Swanson,max.andersen,1
Darin_Swanson,pawel.piech,1
Darin_Swanson,peter,2
Darin_Swanson,zx,1
Heiko.Behrens,Sebastian.Zarnekow,1
Heiko.Behrens,aaaa,2
Kenn.Hussey,aaaa,185
Kenn.Hussey,anthonyh,1
Kenn.Hussey,cdamus,27
Kenn.Hussey,david_williams,1
Kenn.Hussey,dcarlson,24
Kenn.Hussey,give.a.damus,2
Kenn.Hussey,jbruck,95
Kenn.Hussey,kenn.hussey,138
Kenn.Hussey,khussey,256
Kenn.Hussey,merks,3
Kenn.Hussey,wayne,1
Kenn.Hussey,webmaster,3
Kenn.Hussey,yves.yang,3
Kevin_McGuire,Boris_Bokowski,50
Kevin_McGuire,Darin_Wright,1
Kevin_McGuire,Kevin_McGuire,35
Kevin_McGuire,Michael_Valenta,181
Kevin_McGuire,Mike_Wilson,17
Kevin_McGuire,Silenio_Quarti,6
Kevin_McGuire,Szymon.Brandys,9
Kevin_McGuire,aaaa,644
Kevin_McGuire,angelo.zerr,6
Kevin_McGuire,anthonyh,2
Kevin_McGuire,daniel_megert,3
Kevin_McGuire,dejan,2
Kevin_McGuire,emoffatt,40
Kevin_McGuire,francisu,2
Kevin_McGuire,markus_keller,1
Kevin_McGuire,pwebster,46
Kevin_McGuire,remy.suen,3
Kevin_McGuire,rsternberg,5
Kevin_McGuire,sandipchitale,1
Kevin_McGuire,tom.schindl,3
Kevin_McGuire,wayne,1
Kevin_McGuire,yves.yang,1
Markus.Tiede,Achim.Loerke,3
Markus.Tiede,aaaa,21
Michael_Rennie,Boris_Bokowski,3
Michael_Rennie,Curtis_Windatt,2
Michael_Rennie,Darin_Swanson,26
Michael_Rennie,Darin_Wright,417
Michael_Rennie,Michael_Valenta,1
Michael_Rennie,Mike_Wilson,4
Michael_Rennie,Olivier_Thomann,104
Michael_Rennie,Sebastian.Zarnekow,1
Michael_Rennie,aaaa,572
Michael_Rennie,aniefer,1
Michael_Rennie,antoine,1
Michael_Rennie,chanskw,14
Michael_Rennie,daniel_megert,24
Michael_Rennie,darin.eclipse,17
Michael_Rennie,dave,1
Michael_Rennie,david_williams,5
Michael_Rennie,digulla,1
Michael_Rennie,eclipse,3
Michael_Rennie,ed,1
Michael_Rennie,emoffatt,1
Michael_Rennie,g.watson,1
Michael_Rennie,jeff,1
Michael_Rennie,loskutov,1
Michael_Rennie,marc.khouzam,1
Michael_Rennie,markus_keller,10
Michael_Rennie,mauromol,1
Michael_Rennie,maxime_daniel,1
Michael_Rennie,mike,1
Michael_Rennie,nbros,1
Michael_Rennie,nitind,8
Michael_Rennie,overholt,1
Michael_Rennie,pawel.piech,21
Michael_Rennie,pwebster,3
Michael_Rennie,sarika.sinha,9
Michael_Rennie,saurav.sarkar1,1
Michael_Rennie,stephan,1
Michael_Rennie,stepper,2
Michael_Rennie,tjwatson,1
