From,To,Weight
Achim.Loerke,Markus.Tiede,11
Achim.Loerke,aaaa,0
Andreas.Weber,aaaa,0
Andreas.Weber,andreas.schank,1
Andreas.Weber,daniel.stucky,1
Andreas.Weber,igor.novakovic,1
Andreas.Weber,pwissel,4
Boris_Bokowski,aaaa,0
Boris_Bokowski,jeff,1
Curtis_Windatt,Michael_Rennie,5
Curtis_Windatt,scela,2
Darin_Swanson,Darin_Swanson,371
Darin_Swanson,Darin_Wright,909
Darin_Swanson,John_Arthorne,7
Darin_Swanson,Kevin_McGuire,2
Darin_Swanson,Michael_Rennie,56
Darin_Swanson,Michael_Valenta,5
Darin_Swanson,Olivier_Thomann,4
Darin_Swanson,Silenio_Quarti,1
Darin_Swanson,Sonia_Dimitrov,1
Darin_Swanson,aaaa,0
Darin_Swanson,alex,1
Darin_Swanson,bob,2
Darin_Swanson,boris,1
Darin_Swanson,chanskw,2
Darin_Swanson,chris,9
Darin_Swanson,daniel.megert,1
Darin_Swanson,daniel_megert,6
Darin_Swanson,darin.eclipse,1
Darin_Swanson,david_williams,3
Darin_Swanson,davidcorley,3
Darin_Swanson,dejan,5
Darin_Swanson,eclipse,13
Darin_Swanson,gercan,1
Darin_Swanson,info,1
Darin_Swanson,jochen.wiedmann,1
Darin_Swanson,kitlo,2
Darin_Swanson,markus_keller,1
Darin_Swanson,max.andersen,1
Darin_Swanson,pawel.piech,1
Darin_Swanson,peter,2
Darin_Swanson,zx,1
Darin_Wright,aaaa,0
Frank,steffen.pingel,2
Heiko.Behrens,Sebastian.Zarnekow,1
Heiko.Behrens,aaaa,0
Heiko.Behrens,ekke,1
John_Arthorne,Mike_Wilson,1
John_Arthorne,Szymon.Brandys,2
John_Arthorne,aaaa,0
John_Arthorne,eclipse.sprigogin,3
John_Arthorne,ed,2
John_Arthorne,emo,1
John_Arthorne,emoffatt,1
John_Arthorne,francisu,1
John_Arthorne,jesse.mcconnell,1
John_Arthorne,kopp.dev,4
John_Arthorne,manderse,1
John_Arthorne,max.andersen,1
John_Arthorne,maxime_daniel,1
John_Arthorne,mbehm,2
John_Arthorne,mheitz,3
John_Arthorne,mike.milinkovich,4
John_Arthorne,mistria,5
John_Arthorne,mlippert,6
John_Arthorne,news,1
John_Arthorne,overholt,1
John_Arthorne,pwebster,2
John_Arthorne,steffen.pingel,1
John_Arthorne,szymon.ptaszkiewicz,1
John_Arthorne,wayne,1
John_Arthorne,wim.jongman,2
John_Arthorne,ymnk,3
John_Duimovich,aaaa,0
Kenn.Hussey,aaaa,0
Kenn.Hussey,anthonyh,1
Kenn.Hussey,borlander,9
Kenn.Hussey,cdamus,27
Kenn.Hussey,david_williams,1
Kenn.Hussey,dcarlson,24
Kenn.Hussey,give.a.damus,2
Kenn.Hussey,jbruck,95
Kenn.Hussey,kenn.hussey,138
Kenn.Hussey,khussey,256
Kenn.Hussey,merks,3
Kenn.Hussey,tfmorris,3
Kenn.Hussey,wayne,1
Kenn.Hussey,webmaster,3
Kenn.Hussey,yves.yang,3
Kevin_McGuire,Boris_Bokowski,50
Kevin_McGuire,Darin_Wright,1
Kevin_McGuire,Kevin_McGuire,35
Kevin_McGuire,Michael_Valenta,181
Kevin_McGuire,Mike_Wilson,17
Kevin_McGuire,Silenio_Quarti,6
Kevin_McGuire,Szymon.Brandys,9
Kevin_McGuire,aaaa,0
Kevin_McGuire,angelo.zerr,7
Kevin_McGuire,anthonyh,2
Kevin_McGuire,daniel_megert,3
Kevin_McGuire,dejan,2
Kevin_McGuire,emoffatt,40
Kevin_McGuire,francisu,2
Kevin_McGuire,hal,3
Kevin_McGuire,irbull,1
Kevin_McGuire,markus_keller,1
Kevin_McGuire,pwebster,46
Kevin_McGuire,remy.suen,3
Kevin_McGuire,rsternberg,5
Kevin_McGuire,sandipchitale,1
Kevin_McGuire,tom.schindl,5
Kevin_McGuire,wayne,1
Kevin_McGuire,yves.yang,5
Markus.Tiede,Achim.Loerke,3
Markus.Tiede,aaaa,0
Markus.Tiede,steffen.pingel,3
Michael.Scharf,aaaa,0
Michael_Rennie,Boris_Bokowski,3
Michael_Rennie,Curtis_Windatt,4
Michael_Rennie,Darin_Swanson,26
Michael_Rennie,Darin_Wright,417
Michael_Rennie,Michael_Valenta,1
Michael_Rennie,Mike_Wilson,4
Michael_Rennie,Olivier_Thomann,104
Michael_Rennie,Sebastian.Zarnekow,1
Michael_Rennie,aaaa,0
Michael_Rennie,aniefer,1
Michael_Rennie,antoine,1
Michael_Rennie,chanskw,14
Michael_Rennie,dalexiev,2
Michael_Rennie,daniel_megert,24
Michael_Rennie,darin.eclipse,17
Michael_Rennie,dave,1
Michael_Rennie,david_williams,5
Michael_Rennie,davidcorley,2
Michael_Rennie,digulla,1
Michael_Rennie,eclipse,3
Michael_Rennie,ed,1
Michael_Rennie,emoffatt,1
Michael_Rennie,g.watson,1
Michael_Rennie,jeff,1
Michael_Rennie,loskutov,1
Michael_Rennie,marc.khouzam,1
Michael_Rennie,markus_keller,10
Michael_Rennie,mauromol,1
Michael_Rennie,maxime_daniel,1
Michael_Rennie,mike,1
Michael_Rennie,mlippert,2
Michael_Rennie,nbros,1
Michael_Rennie,nitind,8
Michael_Rennie,overholt,1
Michael_Rennie,pawel.piech,21
Michael_Rennie,pwebster,3
Michael_Rennie,rafael,1
Michael_Rennie,sarika.sinha,9
Michael_Rennie,saurav.sarkar1,1
Michael_Rennie,snorthov,3
Michael_Rennie,stephan,1
Michael_Rennie,stepper,2
Michael_Rennie,tjwatson,1
Michael_Rennie,zx,1
Michael_Valenta,Boris_Bokowski,26
Michael_Valenta,Darin_Swanson,3
Michael_Valenta,Darin_Wright,5
Michael_Valenta,John_Arthorne,11
Michael_Valenta,Kevin_McGuire,38
Michael_Valenta,Michael_Rennie,2
Michael_Valenta,Michael_Valenta,189
Michael_Valenta,Mike_Wilson,22
Michael_Valenta,Olivier_Thomann,11
Michael_Valenta,Silenio_Quarti,1
Michael_Valenta,Steve_Northover,1
Michael_Valenta,Szymon.Brandys,12
Michael_Valenta,aaaa,0
Michael_Valenta,alexander.gurov,3
Michael_Valenta,anthonyh,1
Michael_Valenta,daniel.megert,1
Michael_Valenta,daniel_megert,33
Michael_Valenta,david_williams,2
Michael_Valenta,dejan,2
Michael_Valenta,digulla,1
Michael_Valenta,eclipse,5
Michael_Valenta,emoffatt,9
Michael_Valenta,gunnar,1
Michael_Valenta,ian,2
Michael_Valenta,jeervin,1
Michael_Valenta,jeff,1
Michael_Valenta,joshua,1
Michael_Valenta,kitlo,2
Michael_Valenta,markus_keller,10
Michael_Valenta,mbehm,1
Michael_Valenta,overholt,1
Michael_Valenta,patrick,1
Michael_Valenta,pwebster,16
Michael_Valenta,scott,1
Michael_Valenta,sxenos,5
Michael_Valenta,tclick,1
Michael_Valenta,thomas,1
Michael_Valenta,tjwatson,1
Michael_Valenta,webmaster,2
Michael_Valenta,ymnk,24
Michael_Valenta,zx,1
Mike_Wilson,Boris_Bokowski,7
Mike_Wilson,Darin_Wright,2
Mike_Wilson,John_Arthorne,2
Mike_Wilson,Kevin_McGuire,4
Mike_Wilson,Michael_Valenta,4
Mike_Wilson,Mike_Wilson,40
Mike_Wilson,Olivier_Thomann,1
Mike_Wilson,Silenio_Quarti,107
Mike_Wilson,Steve_Northover,193
Mike_Wilson,Szymon.Brandys,1
Mike_Wilson,aaaa,0
Mike_Wilson,aboyko,1
Mike_Wilson,akurtako,1
Mike_Wilson,aniefer,1
Mike_Wilson,dejan,8
Mike_Wilson,emoffatt,2
Mike_Wilson,justin,1
Mike_Wilson,mike.milinkovich,1
Mike_Wilson,pwebster,4
Mike_Wilson,remy.suen,1
Mike_Wilson,szymon.ptaszkiewicz,3
Mike_Wilson,tjwatson,1
Mike_Wilson,webmaster,1
Olivier_Thomann,Boris_Bokowski,4
Olivier_Thomann,Darin_Swanson,2
Olivier_Thomann,Darin_Wright,102
Olivier_Thomann,Kevin_McGuire,2
Olivier_Thomann,Michael_Rennie,166
Olivier_Thomann,Michael_Valenta,4
Olivier_Thomann,Mike_Wilson,5
Olivier_Thomann,Olivier_Thomann,36
Olivier_Thomann,Sonia_Dimitrov,1
Olivier_Thomann,Szymon.Brandys,2
Olivier_Thomann,aaaa,0
Olivier_Thomann,aniefer,12
Olivier_Thomann,caniszczyk,1
Olivier_Thomann,cdamus,1
Olivier_Thomann,daniel.megert,1
Olivier_Thomann,daniel_megert,36
Olivier_Thomann,darin.eclipse,1
Olivier_Thomann,david.green,1
Olivier_Thomann,eclipse,13
Olivier_Thomann,ian,3
Olivier_Thomann,jarthana,58
Olivier_Thomann,kitlo,2
Olivier_Thomann,leberre,2
Olivier_Thomann,loskutov,1
Olivier_Thomann,markus_keller,24
Olivier_Thomann,maxime_daniel,69
Olivier_Thomann,me,1
Olivier_Thomann,mike,1
Olivier_Thomann,mwhitlock,1
Olivier_Thomann,oliver,1
Olivier_Thomann,pwebster,5
Olivier_Thomann,roger,1
Olivier_Thomann,stephan,7
Olivier_Thomann,thanson,1
Olivier_Thomann,thomas,1
Olivier_Thomann,tjwatson,4
Olivier_Thomann,webmaster,1
Olivier_Thomann,wharley,6
Olivier_Thomann,ymnk,2
Olivier_Thomann,zx,2
Sebastian.Zarnekow,aaaa,0
Sebastian.Zarnekow,benjamin.schwertfeger,1
Sebastian.Zarnekow,chanskw,1
Sebastian.Zarnekow,dennis.huebner,3
Sebastian.Zarnekow,dzonekl,1
Sebastian.Zarnekow,ed,1
Sebastian.Zarnekow,ekke,1
Sebastian.Zarnekow,henrik.lindberg,2
Sebastian.Zarnekow,jan.koehnlein,3
Sebastian.Zarnekow,joerg.reichert,1
Sebastian.Zarnekow,kai,1
Sebastian.Zarnekow,karsten.thoms,6
Sebastian.Zarnekow,mail,1
Sebastian.Zarnekow,matthias.wienand,1
Sebastian.Zarnekow,milesparker,4
Sebastian.Zarnekow,moritz.eysholdt,3
Sebastian.Zarnekow,peter.friese,2
Sebastian.Zarnekow,sven.efftinge,3
Silenio_Quarti,Boris_Bokowski,1
Silenio_Quarti,Darin_Wright,1
Silenio_Quarti,Kevin_McGuire,1
Silenio_Quarti,Michael_Valenta,2
Silenio_Quarti,Mike_Wilson,18
Silenio_Quarti,Olivier_Thomann,1
Silenio_Quarti,Silenio_Quarti,41
Silenio_Quarti,Steve_Northover,7
Silenio_Quarti,aaaa,0
Silenio_Quarti,akurtako,1
Silenio_Quarti,alex,1
Silenio_Quarti,andrew.clement,1
Silenio_Quarti,aniefer,6
Silenio_Quarti,antoine,1
Silenio_Quarti,arunkumar.thondapu,3
Silenio_Quarti,bhunt,4
Silenio_Quarti,boris,4
Silenio_Quarti,daniel_megert,1
Silenio_Quarti,david.green,1
Silenio_Quarti,dgreen99,1
Silenio_Quarti,eclipse,2
Silenio_Quarti,fyaoxy,1
Silenio_Quarti,hargrave,1
Silenio_Quarti,ian,1
Silenio_Quarti,ken_walker,2
Silenio_Quarti,markus_keller,3
Silenio_Quarti,pwebster,1
Silenio_Quarti,remy.suen,3
Silenio_Quarti,schtoo,1
Silenio_Quarti,tom.schindl,1
Sonia_Dimitrov,Olivier_Thomann,1
Stefan.Liebig,aaaa,0
Stefan.Liebig,christian.campo,3
Stefan.Liebig,ekke,1
Stefan.Liebig,elias,1
Stefan.Liebig,mail,1
Stephane.Drapeau,aaaa,0
Stephane.Drapeau,bbrodt,2
